Paramètre | Fonction  
0.001000   | 0.000000  
0.002299   | 0.000000  
0.003598   | 0.000000  
0.004897   | 0.000000  
0.006196   | 0.000000  
0.007495   | 0.000000  
0.008794   | 0.000000  
0.010093   | 0.000000  
0.011392   | 0.000000  
0.012691   | 0.000000  
0.013990   | 0.000000  
0.015289   | 0.000000  
0.016588   | 0.000000  
0.017887   | 0.000000  
0.019186   | 0.000000  
0.020485   | 0.000000  
0.021784   | 0.000000  
0.023083   | 0.000000  
0.024382   | 0.000000  
0.025681   | 0.000000  
0.026980   | 0.000000  
0.028279   | 0.000000  
0.029578   | 0.000000  
0.030877   | 0.000000  
0.032176   | 0.000000  
0.033475   | 0.000000  
0.034774   | 0.000000  
0.036073   | 0.000000  
0.037372   | 0.000000  
0.038671   | 0.000000  
0.039970   | 0.000000  
0.041269   | 0.000000  
0.042568   | 0.000000  
0.043867   | 0.000000  
0.045166   | 0.000000  
0.046465   | 0.000000  
0.047764   | 0.000000  
0.049063   | 0.000000  
0.050362   | 0.000000  
0.051661   | 0.000000  
0.052960   | 0.000000  
0.054259   | 0.000000  
0.055558   | 0.000000  
0.056857   | 0.000000  
0.058156   | 0.000000  
0.059455   | 0.000000  
0.060754   | 0.000000  
0.062053   | 0.000000  
0.063352   | 0.000000  
0.064651   | 0.000000  
0.065950   | 0.000000  
0.067249   | 0.000000  
0.068548   | 0.000000  
0.069847   | 0.000000  
0.071146   | 0.000000  
0.072445   | 0.000000  
0.073744   | 0.000000  
0.075043   | 0.000000  
0.076342   | 0.000000  
0.077641   | 0.000000  
0.078940   | 0.000000  
0.080239   | 0.000000  
0.081538   | 0.000000  
0.082837   | 0.000000  
0.084136   | 0.000000  
0.085435   | 0.000000  
0.086734   | 0.000000  
0.088033   | 0.000000  
0.089332   | 0.000000  
0.090631   | 0.000000  
0.091930   | 0.000000  
0.093229   | 0.000000  
0.094528   | 0.000000  
0.095827   | 0.000000  
0.097126   | 0.000000  
0.098425   | 0.000000  
0.099724   | 0.000000  
0.101023   | 0.000000  
0.102322   | 0.000000  
